CNVD-2011-4684,Null,phpMyadmin 'lexml_load_string()'函数信息泄露漏洞,2011/11/4,中,phpMyAdmin phpMyAdmin 3.x   ;   phpMyAdmin  phpMyAdmin  2.x   ;   ,"phpMyAdmin是一款基于PHP的MySQL管理程序。PhpMyadmin实现中错误的使用了simplexml_load_string函数用于xml解析，但是该函数中默认并没有处理好外部实体的安全性，导致用户可以借助xml文件读取和访问应用有权限访问的系统和网络资源。libraries/import/xml.php中：unset($data);/** * Load the XML string * * The option LIBXML_COMPACT is specified because it can * result in increased performance without the need to * alter the code in any way. It's basically a freebee. */$xml = simplexml_load_string($buffer, ""SimpleXMLElement"", LIBXML_COMPACT);unset($buffer);/** * The XML was malformed */if ($xml === FALSE) {可以使用系统中的import功能导入一个精心构造的xml文件:<?xml version=""1.0"" encoding=""utf-8""?><!DOCTYPE wooyun [  <!ENTITY hi80sec SYSTEM ""file:///c:/windows/win.ini"">]><!--- phpMyAdmin XML Dump- version 3.4.4- http://www.phpmyadmin.net-- 主机: localhost- 生成日期: 2011 年 11 月 01 日 14:56- 服务器版本: 5.1.28- PHP 版本: 5.2.6--><pma_xml_export version=""1.0"" xmlns:pma=""http://www.phpmyadmin.net/some_doc_url/"">    <!--    - Structure schemas    -->    <pma:structure_schemas>        <pma:database name=""test"" collation=""utf8_general_ci"" charset=""utf8"">            <pma:table name=""ts_ad"">                &hi80sec;            </pma:table>        </pma:database>    </pma:structure_schemas>    <!--    - 数据库: 'thinksns'    -->    <database name=""thinksns"">        <!-- 表 ts_ad -->    </database></pma_xml_export>来读写文件，系统错误信息会直接显示出文件内容。",http://www.wooyun.org/bugs/wooyun-2010-03185,,Null
CNVD-2011-1012,Null,libxslt 'xsltGenerateIdFunction()'堆内存信息泄露漏洞,2011/3/10,低,XMLSoft libxslt 1.0.25   ;   XMLSoft libxslt 1.0.26   ;   XMLSoft libxslt 1.0.15   ;   XMLSoft libxslt 1.0.33   ;   XMLSoft libxslt 1.1.8   ;   XMLSoft libxslt 1.1.9   ;   XMLSoft libxslt 1.1.10   ;   XMLSoft libxslt 1.1.11   ;   XMLSoft libxslt 1.1.12   ;   XMLSoft libxslt 1.1.13   ;   XMLSoft libxslt 1.1.14   ;   XMLSoft libxslt 1.1.15   ;   XMLSoft libxslt 1.1.16   ;   XMLSoft libxslt 1.1.17   ;   XMLSoft libxslt 1.1.18   ;   XMLSoft libxslt 1.1.19   ;   XMLSoft libxslt 1.1.20   ;   XMLSoft libxslt 1.1.21   ;   XMLSoft libxslt 1.1.22   ;   XMLSoft libxslt 1.1.23   ;   XMLSoft libxslt 1.1.24   ;   ,"libxslt是扩展了libxml2，以支持XSLT文件的库。libxslt库提供的用于XSL转换的generate-id() XPath函数存在缺陷，攻击者可以利用此漏洞获得对象地址,漏洞可被利用用于帮助针对ASLR的攻击。",http://scarybeastsecurity.blogspot.com/2011/03/multi-browser-heap-address-leak-in-xslt.html,用户可参考如下供应商提供的安全公告获得补丁信息：http://git.gnome.org/browse/libxslt/commit/?id=ecb6bcb8d1b7e44842edde3929f412d46b40c89f,libxslt 'xsltGenerateIdFunction()'堆内存信息泄露漏洞的补丁:http://www.cnvd.org.cn/patchInfo/show/3257
CNVD-2011-0327,Null,"libxml2 ""XMLWriter::writeAttribute()""内存泄露信息漏洞",2011/1/26,低,XMLSoft Libxml2 2.x   ;   ,libxml软件包提供允许用户操控XML文件的函数库，包含有读、修改和写XML和HTML文件支持。libxml的XMLWriter::writeAttribute()函数中存在安全漏洞，远程攻击者可利用此漏洞获取敏感信息。,http://www.securityfocus.com/bid/45973http://permalink.gmane.org/gmane.comp.security.oss.general/4122,,Null
CNVD-2014-01258,Null,MariaDB存在多个拒绝服务漏洞,2014/2/26,中,MariaDB MariaDB 5.x   ;   ,MariaDB是一个向后兼容、替代MySQL的数据库服务器。它包含所有主要的开源存储引擎。MariaDB存在多个安全漏洞，允许恶意用户利用漏洞进行拒绝服务攻击。1，处理某些带有子查询的prepared SELECT语句时存在空指针引用错误，允许攻击者利用漏洞使应用程序崩溃。2，处理包含某些concurrent SQL查询的KILL QUERY语句时存在错误，允许攻击者利用漏洞使应用程序崩溃。3，在处理包含AND/OR表达式的NAME_CONST表达时存在错误，允许攻击者利用漏洞使应用程序崩溃。4，处理包含非法GROUP BY值的SELECT语句时存在错误，可触发断言失败错误。5，处理包含JOIN短语的某些SELECT语句时存在错误，允许攻击者利用漏洞使应用程序崩溃。6，处理某些concurrent UPDATE语句时存在错误，可使应用程序崩溃。,https://mariadb.com/kb/en/mariadb-5536-release-notes/,MariaDB 5.5.36已经修复该漏洞，建议用户下载更新：https://mariadb.com/,MariaDB存在多个拒绝服务漏洞的补丁 :http://www.cnvd.org.cn/patchInfo/show/43877
CNVD-2014-01255,Null,MariaDB存在多个远程拒绝服务漏洞,2014/2/26,中,MariaDB MariaDB 5.5.35a   ;   ,MariaDB是一个采用Maria存储引擎的MySQL分支版本，MySQL是一个关联式数据库管理系统。MariaDB存在多个远程拒绝服务漏洞。攻击者可以利用漏洞导致服务器崩溃，导致拒绝服务。,http://www.osvdb.org/show/osvdb/102926,MariaDB 5.5.35已修复此漏洞，建议用户下载使用：http://bazaar.launchpad.net/~maria-captains/maria/5.5/revision/3995,MariaDB存在多个远程拒绝服务漏洞的补丁:http://www.cnvd.org.cn/patchInfo/show/43845
CNVD-2014-01230,Null,MariaDB SET ROLE拒绝服务漏洞,2014/2/25,中,MariaDB MariaDB 10.0.7   ;   ,MariaDB是一个采用Maria存储引擎的MySQL分支版本，MySQL是一个关联式数据库管理系统。MariaDB SET ROLE处理存在拒绝服务漏洞。允许经过身份验证的攻击者导致数据库崩溃。,http://osvdb.org/show/osvdb/103379,MariaDB 10.0.8已修复此漏洞，建议用户下载使用：http://bazaar.launchpad.net/~maria-captains/maria/10.0/revision/3965.1.7,MariaDB SET ROLE拒绝服务漏洞的补丁:http://www.cnvd.org.cn/patchInfo/show/43823
CNVD-2014-01229,Null,MariaDB DROP USER语句处理拒绝服务漏洞,2014/2/25,中,MariaDB MariaDB 10.0.7   ;   ,MariaDB是一个采用Maria存储引擎的MySQL分支版本，MySQL是一个关联式数据库管理系统。MariaDB DROP USER语句处理存在拒绝服务漏洞。允许通过身份验证的远程攻击者使服务器崩溃。,http://osvdb.org/show/osvdb/103380,MariaDB 10.0.8已修复此漏洞，建议用户下载使用：http://bazaar.launchpad.net/~maria-captains/maria/10.0/revision/3965.1.8,MariaDB DROP USER语句处理拒绝服务漏洞的补丁:http://www.cnvd.org.cn/patchInfo/show/43825
CNVD-2014-01228,Null,MariaDB ft.cc 'dictionary_redirect_internal()'函数创建表拒绝服务漏洞,2014/2/25,中,MariaDB MariaDB 10.0.7   ;   ,MariaDB是一个采用Maria存储引擎的MySQL分支版本，MySQL是一个关联式数据库管理系统。MariaDB ft.cc 'dictionary_redirect_internal()'函数通过一个特制的请求创建表时存在拒绝服务漏洞。允许通过身份验证的远程攻击者导致数据库崩溃。,http://osvdb.org/show/osvdb/103382,MariaDB 10.0.8已修复此漏洞，建议用户下载使用：http://bazaar.launchpad.net/~maria-captains/maria/10.0/revision/3965.1.8,MariaDB ft.cc 'dictionary_redirect_internal()'函数创建表拒绝服务漏洞的补丁:http://www.cnvd.org.cn/patchInfo/show/43827
CNVD-2014-01226,Null,MariaDB Nested JOIN查询解析拒绝服务漏洞,2014/2/25,中,MariaDB MariaDB 10.0.3   ;   MariaDB MariaDB  5.5.31   ;   ,MariaDB是一个采用Maria存储引擎的MySQL分支版本，MySQL是一个关联式数据库管理系统。MariaDB Nested JOIN查询解析存在拒绝服务漏洞，允许通过身份验证的远程攻击者导致数据库崩溃。,http://osvdb.org/show/osvdb/103389,MariaDB 5.5.32已修复此漏洞，建议用户下载使用：https://mariadb.org/,MariaDB Nested JOIN查询解析拒绝服务漏洞的补丁:http://www.cnvd.org.cn/patchInfo/show/43831
CNVD-2013-12735,Null,MariaDB存在多个本地拒绝服务漏洞,2013/9/3,低,Monty Program Ab MariaDB 5.1.50   ;   Monty Program Ab MariaDB 5.1.51   ;   Monty Program Ab MariaDB 5.1.53   ;   ,MariaDB是一个采用Maria存储引擎的MySQL分支版本，MySQL是一个关联式数据库管理系统。MariaDB存在多个本地拒绝服务漏洞。攻击者可以利用漏洞使服务器崩溃，导致一个拒绝服务条件。,http://www.securityfocus.com/bid/62085,用户可联系供应商获得补丁信息：http://mariadb.org/,MariaDB存在多个本地拒绝服务漏洞的补丁:http://www.cnvd.org.cn/patchInfo/show/39274
CNVD-2012-5005,Null,MariaDB拒绝服务漏洞（CNVD-2012-5005）,2012/9/11,中,MariaDB MariaDB 5.x   ;   ,"MariaDB是一个采用Maria存储引擎的MySQL分支版本，MySQL是一个关联式数据库管理系统。MariaDB、当执行子查询时""test_if_skip_sort_order()""函数(sql_select.cc)存在空指针应用错误。可通过特制的查询使服务崩溃。",http://secunia.com/advisories/50485/http://kb.askmonty.org/en/mariadb-5527-release-notes/https://mariadb.atlassian.net/browse/MDEV-405https://launchpad.net/~bugs-bergstroem,MariaDB 5.5.27已经修复此漏洞，建议用户下载使用：ttps://mariadb.atlassian.net/b,MariaDB拒绝服务漏洞（CNVD-2012-5005）的补丁:http://www.cnvd.org.cn/patchInfo/show/21915
CNVD-2012-5006,Null,MariaDB拒绝服务漏洞（CNVD-2012-5006）,2012/9/11,中,MariaDB MariaDB 5.x   ;   ,"MariaDB是一个采用Maria存储引擎的MySQL分支版本，MySQL是一个关联式数据库管理系统。MariaDB当处理释放某些当前使用表的子查询时 ""select_describe()""函数(sql/sql_select.cc)存在错误。可通过特制的查询使服务崩溃。",http://secunia.com/advisories/50485/http://kb.askmonty.org/en/mariadb-5527-release-notes/https://mariadb.atlassian.net/browse/MDEV-430https://launchpad.net/~bugs-bergstroem,MariaDB 5.5.27已经修复此漏洞，建议用户下载使用：ttps://mariadb.atlassian.net/b,MariaDB拒绝服务漏洞（CNVD-2012-5006）的补丁:http://www.cnvd.org.cn/patchInfo/show/21914
CNVD-2012-5007,Null,MariaDB拒绝服务漏洞（CNVD-2012-5007）,2012/9/11,中,MariaDB MariaDB 5.x   ;   ,MariaDB是一个采用Maria存储引擎的MySQL分支版本，MySQL是一个关联式数据库管理系统。MariaDB当运行并行查询时处理查询缓存存在错误。攻击者可以利用漏洞提交特制查询使服务崩溃。,http://secunia.com/advisories/50485/http://kb.askmonty.org/en/mariadb-5527-release-notes/https://launchpad.net/~bugs-bergstroem,MariaDB 5.5.27已经修复此漏洞，建议用户下载使用：ttps://mariadb.atlassian.net/b,MariaDB拒绝服务漏洞（CNVD-2012-5007）:http://www.cnvd.org.cn/patchInfo/show/21913
CNVD-2014-08288,Null,phpMemcachedAdmin存在未明远程代码执行漏洞,2014/11/14,高,phpMemcachedAdmin phpMemcachedAdmin <=1.2.2   ;   ,"phpMemcachedAdmin是一个用来管理memcached的一个可视化的管理工具,采用php的脚本语言实现。phpMemcachedAdmin存在未明远程代码执行漏洞，攻击者可以利用此漏洞在受影响应用程序的上下文中执行任意代码。",http://www.securityfocus.com/bid/71059,目前没有详细的解决方案提供http://www.pudn.com/downloads516/sourcecode/others/detail2142083.html,Null
CNVD-2012-2137,Null,Liferay Portal未授权访问漏洞,2012/4/26,中,Liferay Portal 6.0.5 ce   ;   Liferay Portal 6.0.6 ce   ;   ,Liferay是一个完整的门户解决方案，基于J2EE的应用。Liferay存在安全漏洞。由于提交单个HTTP请求可重新配置Liferay使用远程Memcached缓存来替代自身的缓存，这表示所有存储在数据库的实体会被缓存到攻击者主机上的Memcached实例中，攻击者无需账户可进行此攻击，可能获得管理员访问。,http://www.securityfocus.com/archive/1/522427,,Null
CNVD-2018-22902,Null,YCCMS V3.3存在任意密码重置漏洞,2018/12/11,中,YCCMS YCCMS v3.3   ;   ,YCCMS是一款采用PHP5+MYSQL做为技术基础进行开发的版轻量级CMS建站系统。YCCMS V3.3存在任意密码重置漏洞。该漏洞是由于后台修改管理员用户密码时候未能验证原有密码，修改密码时未能验证用户是否登录，攻击者可利用漏洞重置任意管理员用户的密码。,Null,厂商尚未提供漏洞修补方案，请关注厂商主页及时更新：http://www.yccms.net/,YCCMS V3.3存在任意密码重置漏洞:http://www.cnvd.org.cn/patchInfo/show/143347
CNVD-2018-23371,Null,Ctcms影视系统后台存在代码执行漏洞,2018/12/10,高,崇胜网络科技 Ctcms v1.0.0_free_utf8   ;   ,Ctcms是一套采用PHP+MYSQL环境下运行的快速建站系统。Ctcms影视系统后台存在代码执行漏洞。允许攻击者上传exp文件，执行命令，获得服务器权限。,Null,厂商尚未提供漏洞修补方案，请关注厂商主页及时更新：http://www.ctcms.cn/,ctcms影视系统后台存在代码执行漏洞:http://www.cnvd.org.cn/patchInfo/show/143237
CNVD-2018-21977,Null,Gxlcms新闻系统 My***.php文件存在SQL注入漏洞,2018/12/10,中,Gxlcms Gxlcms新闻系统   ;   ,Gxlcms新闻系统是一个以php+mysql进行开发的新闻类cms内容管理系统。Gxlcms新闻系统 My***.php文件存在SQL注入漏洞。攻击者可利用漏洞获取数据库敏感信息。,Null,厂商尚未提供漏洞修复方案，请关注厂商主页更新：http://www.gxlcms.com/,Gxlcms存在SQL注入漏洞:http://www.cnvd.org.cn/patchInfo/show/143207
CNVD-2018-21978,Null,Gxlcms新闻系统 Ne***.php存在SQL注入漏洞,2018/12/9,中,Gxlcms Gxlcms新闻系统 v2.0   ;   ,Gxlcms新闻系统是一个以php+mysql进行开发的新闻类cms内容管理系统。Gxlcms新闻系统 Ne***.php存在SQL注入漏洞。攻击者可利用漏洞获取数据库敏感信息。,Null,厂商尚未提供漏洞修复方案，请关注厂商主页更新：http://www.gxlcms.com/,Gxlcms存在SQL注入漏洞:http://www.cnvd.org.cn/patchInfo/show/143205
CNVD-2018-21989,Null,云优CMS企业网站管理系统Ma***.php文件存在SQL注入漏洞,2018/12/8,高,镇江市云优网络科技有限公司 云优CMS企业网站管理系统 v1.1.2   ;   ,云优CMS企业网站管理系统（YUNUCMS）是一套基于PHP+MYSQL为核心开发的专业营销型企业建站系统。云优CMS企业网站管理系统Ma***.php文件存在SQL注入漏洞。攻击者可利用漏洞获取数据库敏感信息。,Null,厂商尚未提供漏洞修复方案，请关注厂商主页更新：http://www.yunucms.com/,yunucms v1.1.2存在SQL注入漏洞:http://www.cnvd.org.cn/patchInfo/show/143013
CNVD-2018-21988,Null,云优CMS企业网站管理系统V1***.php文件存在SQL注入漏洞,2018/12/8,高,镇江市云优网络科技有限公司 云优CMS企业网站管理系统 v1.1.2   ;   ,云优CMS企业网站管理系统（YUNUCMS）是一套基于PHP+MYSQL为核心开发的专业营销型企业建站系统。云优CMS企业网站管理系统V1***.php文件存在SQL注入漏洞。攻击者可利用漏洞获取数据库敏感信息。,Null,厂商尚未提供漏洞修复方案，请关注厂商主页更新：http://www.yunucms.com/,yunucms v1.1.2存在SQL注入漏洞:http://www.cnvd.org.cn/patchInfo/show/143017
CNVD-2018-21987,Null,云优CMS企业网站管理系统V1***.php文件存在SQL注入漏洞（CNVD-2018-21987）,2018/12/8,高,镇江市云优网络科技有限公司 云优CMS企业网站管理系统 v1.1.2   ;   ,云优CMS企业网站管理系统（YUNUCMS）是一套基于PHP+MYSQL为核心开发的专业营销型企业建站系统。云优CMS企业网站管理系统V1***.php文件存在SQL注入漏洞。攻击者可利用漏洞获取数据库敏感信息。,Null,厂商尚未提供漏洞修复方案，请关注厂商主页更新：http://www.yunucms.com/,yunucms v1.1.2存在SQL注入漏洞:http://www.cnvd.org.cn/patchInfo/show/143015
CNVD-2018-21985,Null,BageCms in***.php文件存在SQL注入漏洞,2018/12/8,中,八哥软件 BageCms v3.1.3   ;   ,BageCms是一款基于php5+mysql5开发的多功能开源的网站内容管理系统。BageCms in***.php文件存在SQL注入漏洞。攻击者可利用漏洞获取数据库敏感信息。,Null,厂商尚未提供修复方案，请关注厂商主页更新：https://bagesoft.cn/,bagecms存在SQL注入漏洞:http://www.cnvd.org.cn/patchInfo/show/143025
CNVD-2018-23373,Null,老班CMS存在SQL注入漏洞,2018/12/8,高,老班CMS 老班CMS V2.1   ;   ,老班CMS内容管理系统（简称：老班CMS）是由老班基于PHP+MYSQL环境下开发的开源建站系统。老班CMS存在SQL注入漏洞，攻击者可利用该漏洞获取敏感信息。,Null,厂商尚未提供漏洞修复方案，请关注厂商主页更新：http://laobancms.com,老班cms存在SQL注入漏洞:http://www.cnvd.org.cn/patchInfo/show/143239
CNVD-2018-23374,Null,OurPHP傲派建站系统V1.8.3后台存在代码执行漏洞,2018/12/8,高,哈尔滨伟成科技有限公司 OurPHP V1.8.1   ;   ,OURPHP是哈尔滨伟成科技有限公司开发的一款基于PHP+MySQL开发符合W3C标准的建站系统。OurPHP傲派建站系统V1.8.3后台存在代码执行漏洞，攻击者可利用该漏洞获取网站服务器控制权。,Null,厂商尚未提供漏洞修复方案，请关注厂商主页更新：http://www.ourphp.net/,OURPHP建站系统V1.8.3后台存在代码执行漏洞:http://www.cnvd.org.cn/patchInfo/show/143695
CNVD-2018-22894,Null,飞飞影视导航系统（FeiFeiCms）4.0.181010版前台存在逻辑缺陷漏洞,2018/12/7,中,飞飞影视导航系统（FeiFeiCms） 飞飞影视导航系统（FeiFeiCms） 4.0.181010   ;   ,飞飞影视导航系统（FeiFeiCms）采用PHP+Mysql技术开发，可以在windows和Linux系统平台上运行。飞飞影视导航系统（FeiFeiCms）4.0.181010版前台存在逻辑缺陷漏洞，漏洞源于未能对用户的输入进行正确的过滤，攻击者可利用该漏洞修改用户信息。,Null,厂商尚未提供漏洞修复方案，请关注厂商主页更新：http://www.feifeicms.com/,FeiFeiCms 4.0.181010版前台存在逻辑缺陷漏洞:http://www.cnvd.org.cn/patchInfo/show/143119
CNVD-2018-22130,Null,PHPMyWind后台存在SQL注入漏洞,2018/12/3,中,PHPMyWind PHPMyWind 5.5   ;   ,PHPMyWind是一款基于PHP+MySQL开发，符合W3C标准的建站引擎，适用于企业级建站。PHPMyWind后台存在SQL注入漏洞。攻击者可利用漏洞获取数据库敏感信息。,Null,厂商尚未提供漏洞修补方案，请关注厂商主页及时更新：http://www.phpmywind.com/,phpmywind后台存在SQL注入漏洞:http://www.cnvd.org.cn/patchInfo/show/142835
CNVD-2018-22110,Null,UsualToolCMS pa***.php文件存在SQL注入漏洞,2018/12/2,高,成都康菲顿特网络科技有限公司 UsualToolCMS v8.0 Release   ;   ,UsualToolCMS是一款企业级的网站内容管理系统，由PHP+MYSQL编写，使用模板分离技术，支持创建多种类型的站点。UsualToolCMS pa***.php文件存在SQL注入漏洞。攻击者可利用漏洞获取数据库敏感信息。,Null,厂商已提供漏洞修补方案，请关注厂商主页及时更新：http://cms.usualtool.com/,UsualToolCMS存在SQL注入漏洞:http://www.cnvd.org.cn/patchInfo/show/142635
CNVD-2018-22129,Null,UsualToolCMS v8.0Release存在SQL注入漏洞,2018/11/30,中,成都康菲顿特网络科技有限公司 UsualToolCMS v8.0 Release   ;   ,UsualToolCMS(UTCMS) 是一款企业级的网站内容管理系统，由PHP+MYSQL编写，使用模板分离技术，支持创建多种类型的站点。UsualToolCMS v8.0Release存在SQL注入漏洞。攻击者可利用漏洞获取数据库敏感信息。,Null,厂商尚未提供漏洞修补方案，请关注厂商主页及时更新：http://cms.usualtool.com/,UsualToolCMS8.0Release存在SQL注入漏洞:http://www.cnvd.org.cn/patchInfo/show/142281
CNVD-2018-24192,Null,WordPress universal-post-manager插件数据库备份信息泄露漏洞,2018/11/29,中,WordPress universal-post-manager 1.5.0   ;   ,WordPress是WordPress软件基金会的一套使用PHP语言开发的博客平台，该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress universal-post-manager插件数据库备份存在信息泄露漏洞。攻击者可利用漏洞获敏感信息。,https://www.exploitalert.com/view-details.html?id=31510,目前没有详细解决方案提供：http://www.wordpress.org/support/plugin/universal-post-manager/,Null
CNVD-2018-24193,Null,WordPress wpmu-dev-post-votes插件数据库备份任意文件下载漏洞,2018/11/29,中,WordPress wpmu-dev-post-votes 2   ;   ,WordPress是WordPress软件基金会的一套使用PHP语言开发的博客平台，该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress wpmu-dev-post-votes插件数据库备份存在任意文件下载漏洞。攻击者可利用漏洞下载任意文件。,https://www.exploitalert.com/view-details.html?id=31509,目前没有详细解决方案提供：htpp://www.wordpress.org,Null
CNVD-2018-24194,Null,Wordpress Database Backup信息泄露漏洞,2018/11/29,中,WordPress Database Backup   ;   ,WordPress是WordPress软件基金会的一套使用PHP语言开发的博客平台，该平台支持在PHP和MySQL的服务器上架设个人博客网站。Wordpress Database Backup存在信息泄露漏洞。攻击者可利用漏洞获取敏感信息。,https://www.exploitalert.com/view-details.html?id=31493,目前没有详细解决方案提供：http://www.wordpress.org,Null
CNVD-2018-24197,Null,WordPress HitAppoint插件数据库备份信息泄露漏洞,2018/11/29,中,WordPress HitAppoint   ;   ,WordPress是WordPress软件基金会的一套使用PHP语言开发的博客平台，该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress HitAppoint插件数据库备份存在信息泄露漏洞。攻击者可利用漏洞获取敏感信息。,https://www.exploitalert.com/view-details.html?id=31487,目前没有详细解决方案提供：http://www.wordpress.org,Null
CNVD-2018-24190,Null,WordPress CherryFramework Themes备份文件下载漏洞,2018/11/29,中,WordPress CherryFramework Themes 3.1.4   ;   ,WordPress是WordPress软件基金会的一套使用PHP语言开发的博客平台，该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress CherryFramework Themes存在备份文件下载漏洞。攻击者可利用漏洞获取敏感信息。,https://www.exploitalert.com/view-details.html?id=31518,目前没有详细解决方案提供：http://www.cherryframework.com/,Null
CNVD-2018-24191,Null,WordPress Pods插件任意文件下载漏洞,2018/11/29,中,WordPress Pods Plugins 2.7.9   ;   ,WordPress是WordPress软件基金会的一套使用PHP语言开发的博客平台，该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress Pods插件存在任意文件下载漏洞。攻击者可利用漏洞获取敏感信息。,https://www.exploitalert.com/view-details.html?id=31524,目前没有详细解决方案提供：http://www.wordpress.org/plugins/pods/,Null
CNVD-2018-24195,Null,WordPress paid-memberships-pro插件数据库备份信息泄露漏洞,2018/11/29,中,WordPress paid-memberships-pro 1.5.2   ;   ,WordPress是WordPress软件基金会的一套使用PHP语言开发的博客平台，该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress paid-memberships-pro插件数据库备份存在信息泄露漏洞。攻击可利用漏洞获取敏感信息。,https://www.exploitalert.com/view-details.html?id=31525,目前没有详细解决方案提供：http://www.wordpress.org/plugins/pmpro-bbpress/,Null
CNVD-2018-22135,Null,梦行商企建站系统存在SQL注入漏洞,2018/11/26,高,湖南梦行科技有限公司 梦行商企建站系统 V4.1   ;   ,梦行商企建站系统是采用PHP+MySQL方式运行的开源建站系统。梦行商企建站系统存在SQL注入漏洞，攻击者可利用该漏洞修改管理员账号密码。,Null,厂商尚未提供漏洞修复方案，请关注厂商主页更新:http://www.monxin.com,Monxin商企建站系统存在SQL注入漏洞:http://www.cnvd.org.cn/patchInfo/show/142257
CNVD-2018-22136,Null,Dscms存在SQL注入漏洞,2018/11/25,高,宁波市鄞州区天发网络科技有限公司 Dscms 0.1   ;   ,Dscms是一款基于TP5.0框架开发，采用 PHP + Mysql架构的企业网站建站系统。Dscms 0.1版本前台存在SQL注入漏洞，漏洞源于未能对参数$id进行过滤，攻击者可利用该漏洞获取敏感信息。,Null,厂商尚未提供漏洞修复方案，请关注厂商主页更新：http://www.dswjcms.com,Dscms v0.1存在SQL注入漏洞:http://www.cnvd.org.cn/patchInfo/show/142205
CNVD-2018-22160,Null,热剧CMS v2.1存在逻辑缺陷漏洞,2018/11/24,中,乐外资源分享网 热剧CMS v2.1   ;   ,热剧CMS是一个以PHP+MySQL进行开发的影视建站系统。热剧CMS v2.1中/admin/cm***.php存在逻辑缺陷漏洞，攻击者可通过修改cookie值，利用该漏洞登录管理后台。,Null,厂商尚未提供漏洞修复方案，请关注厂商主页更新：http://m.ywfls.com/,热剧CMS v2.1存在逻辑缺陷漏洞:http://www.cnvd.org.cn/patchInfo/show/141747
CNVD-2018-22159,Null,梦行商企建站系统存在文件上传漏洞,2018/11/24,高,湖南梦行科技有限公司 梦行商企建站系统 V4.1   ;   ,梦行商企建站系统是采用PHP+MySQL方式运行的开源建站系统。梦行商企建站系统存在文件上传漏洞，攻击者可利用该漏洞上传任意文件，获取网站服务器控制权,Null,厂商尚未提供漏洞修复方案，请关注厂商主页更新:http://www.monxin.com,Monxin商企建站系统存在文件上传漏洞:http://www.cnvd.org.cn/patchInfo/show/142003
CNVD-2018-21955,Null,YUNUCMS Ma***.php文件存在SQL注入漏洞,2018/11/24,高,镇江市云优网络科技有限公司 YUNUCMS v1.1.2   ;   ,优CMS企业网站管理系统（YUNUCMS）是一套基于PHP+MYSQL为核心开发的专业营销型企业建站系统。YUNUCMS Ma***.php文件存在SQL注入漏洞。攻击者可利用该漏洞获取数据库敏感信息。,Null,厂商尚未提供漏洞修补方案，请关注厂商主页及时更新：http://www.yunucms.com/,yunucmsv1.1.2存在SQL注入漏洞:http://www.cnvd.org.cn/patchInfo/show/141673
CNVD-2018-21954,Null,YUNUCMS Ma***.php文件存在SQL注入漏洞（CNVD-2018-21954）,2018/11/24,高,镇江市云优网络科技有限公司 YUNUCMS v1.1.2   ;   ,优CMS企业网站管理系统（YUNUCMS）是一套基于PHP+MYSQL为核心开发的专业营销型企业建站系统。YUNUCMS Ma***.php文件存在SQL注入漏洞。攻击者可利用该漏洞获取数据库敏感信息。,Null,厂商尚未提供漏洞修补方案，请关注厂商主页及时更新：http://www.yunucms.com/,yunucmsv1.1.2存在SQL注入漏洞:http://www.cnvd.org.cn/patchInfo/show/141671
CNVD-2018-21953,Null,YUNUCMS Ma***.php文件存在SQL注入漏洞（CNVD-2018-21953）,2018/11/24,高,镇江市云优网络科技有限公司 YUNUCMS v1.1.2   ;   ,云优CMS企业网站管理系统（YUNUCMS）是一套基于PHP+MYSQL为核心开发的专业营销型企业建站系统。YUNUCMS Ma***.php文件存在SQL注入漏洞。攻击者可利用该漏洞获取数据库敏感信息。,Null,厂商尚未提供漏洞修补方案，请关注厂商主页及时更新：http://www.yunucms.com/,yunucmsv1.1.2存在SQL注入漏洞:http://www.cnvd.org.cn/patchInfo/show/141669
CNVD-2018-20701,Null,phpyun v4.6存在任意文件读取漏洞,2018/11/23,低,宿迁鑫潮信息技术有限公司 phpyun v4.6   ;   ,PHP云人才系统（phpyun）是一个采用PHP和MySQL数据库构建的开源人才与企业求职招、聘解决方案。phpyun v4.6存在任意文件读取漏洞。攻击者可利用漏洞读取任意文件，获取到服务器敏感信息。,Null,厂商尚未提供漏洞修补方案，请关注厂商主页及时更新：https://www.phpyun.com/,phpyun4.6存在任意文件读取漏洞:http://www.cnvd.org.cn/patchInfo/show/141517
CNVD-2018-22161,Null,YCCMS存在代码执行漏洞,2018/11/23,高,YCCMS YCCMS v3.3   ;   ,YCCMS是一款采用PHP5+MYSQL做为技术基础进行开发的版轻量级CMS建站系统。YCCMS v3.3中存在代码执行漏洞，漏洞源于未能严格过滤上传的图片类型，攻击者可利用该漏洞执行代码。,Null,厂商尚未提供漏洞修复方案，请关注厂商主页更新：http://www.yccms.net/,yccms_code_execute存在文件上传漏洞:http://www.cnvd.org.cn/patchInfo/show/141761
